order-number,bo-number,warehouse,cShopifyOrderNumber,cShopifyOrderID,warehouse-status,hold-code,lHasFulfillment,lHasShipment,iAge,shopify_status,shopify_location,shopify_order_id
V5533817,0,AV,#19424237,6193266229428,,,no,no,166,NOT FOUND,,
V5622004,0,AV,#19478579,6197514731700,,OMSHOLD,no,no,164,NOT FOUND,,
CH630931,0,AYS097,#19484129,6197816426676,,,no,no,164,NOT FOUND,,
PF610987,0,AYS051,#19471871,6197111161012,Accepted,,no,no,164,NOT FOUND,,
V5649533,0,AV,#19494550,6198864150708,,,no,no,163,NOT FOUND,,
V5650047,0,AV,#19494917,6198888661172,,,no,no,163,NOT FOUND,,
V6003340,0,AV,#19636521,6209119322292,,OMSHOLD,no,no,158,NOT FOUND,,
V6022332,0,AV,#19645575,6209591050420,,,no,no,158,NOT FOUND,,
V6060232,0,AV,#19660035,6210771288244,,,no,no,157,NOT FOUND,,
V6129531,0,AV,#19689436,6212991254708,,OMSHOLD,no,no,156,NOT FOUND,,
V6177992,0,AV,#19702743,6214131646644,,,no,no,156,NOT FOUND,,
V6160389,0,AV,#19697367,6213423694004,,,no,no,156,NOT FOUND,,
DO256206,0,AYS038,#19694723,6213277843636,,,no,no,156,NOT FOUND,,
FI256206,0,AYS007,#19694723,6213277843636,,,no,no,156,NOT FOUND,,
V6303246,0,AV,#19739706,6218515808436,,OMSHOLD,no,no,153,NOT FOUND,,
V6355017,0,AV,#19763933,6220747014324,,,no,no,152,NOT FOUND,,
V6465764,0,AV,#19829577,6225769038004,,,no,no,149,NOT FOUND,,
V6496394,0,AV,#19844606,6226988105908,,,no,no,149,NOT FOUND,,
V6508786,0,AV,#19850101,6227817136308,,,no,no,148,NOT FOUND,,
V6511436,0,AV,#19851518,6227946766516,,,no,no,148,NOT FOUND,,
V6517371,0,AV,#19855335,6228223033524,,,no,no,148,NOT FOUND,,
V6516567,0,AV,#19854790,6228186595508,,OMSHOLD,no,no,148,NOT FOUND,,
FA121538,0,AYS012,#19906766,6237108469940,,,no,no,145,NOT FOUND,,
S6622360,0,AS,#19911849,6237438673076,Accepted,,no,no,145,NOT FOUND,,
BR671626,0,AYS090,#19942770,6239873302708,,,no,no,144,NOT FOUND,,
MP671626,0,AYS042,#19942770,6239873302708,Backorder,,no,no,144,NOT FOUND,,
MP645097,0,AYS042,#19924134,6238798315700,Backorder,,no,no,144,NOT FOUND,,
TG861313,0,AYS003,#19929741,6239138152628,,,no,no,144,NOT FOUND,,
V6684097,0,AV,#19949981,6240806863028,,OMSHOLD,no,no,143,NOT FOUND,,
CE678299,0,AYS101,#19946021,6240333201588,Backorder,,no,no,143,NOT FOUND,,
V6720418,0,AV,#19970436,6242541371572,,OMSHOLD,no,no,142,NOT FOUND,,
SD767981,0,AYS011,#19996155,6245666455732,Accepted,,no,no,141,NOT FOUND,,
GD770436,0,AYS081,#19997877-1,6245817548980,Backorder,,no,no,141,NOT FOUND,,
V6835796,0,AV,#20029879,6249256485044,,OMSHOLD,no,no,139,NOT FOUND,,
PA369934,0,AYS021,#20059599,6252356796596,Accepted,,no,no,137,NOT FOUND,,
V7346188,0,AV,#20083002,6254216609972,,OMSHOLD,no,no,136,NOT FOUND,,
V6958463,0,AV,#20101107,6255633334452,,OMSHOLD,no,no,135,NOT FOUND,,
V6979954,0,AV,#20113493,6256703111348,,OMSHOLD,no,no,135,NOT FOUND,,
V7006826,0,AV,#20128822,6258935857332,,OMSHOLD,no,no,134,NOT FOUND,,
V7008098,0,AV,#20129657,6259023380660,,,no,no,134,NOT FOUND,,
V7687653,0,AV,#20122677,6258237997236,,OMSHOLD,no,no,134,NOT FOUND,,
TG027750,0,AYS003,#20139940,6260229570740,,,no,no,133,NOT FOUND,,
S0031376,0,AS,#20141508,6260459110580,,,no,no,133,NOT FOUND,,
V7092826,0,AV,#20176065,6263184195764,,,no,no,132,NOT FOUND,,
V7113710,0,AV,#20188387,6264486265012,,OMSHOLD,no,no,131,NOT FOUND,,
V7250338,0,AV,#20270940,6271905562804,,,no,no,128,NOT FOUND,,
S7256424,0,AS,#20252889,6270505287860,,,no,no,128,NOT FOUND,,
KT272346,0,AYS082,#20282049,6273069646004,Accepted,,no,no,127,NOT FOUND,,
V7254615,0,AV,#20272876,6272350978228,,,no,no,127,NOT FOUND,,
V7279860,0,AV,#20287045,6273477247156,,,no,no,127,NOT FOUND,,
OA307433,0,AYS015,#20301297,6274875621556,Accepted,,no,no,126,NOT FOUND,,
CE309768,0,AYS101,#20302799,6274994438324,Accepted,,no,no,126,NOT FOUND,,
IP343600,0,AYS039,#20322021,6276861296820,,,no,no,125,NOT FOUND,,
TG370130,0,AYS003,#20308250,6275871801524,Accepted,,no,no,125,NOT FOUND,,
V7345571,0,AV,#20323399,6277166694580,,,no,no,124,NOT FOUND,,
CC380410,0,AYS028,#20343646,6278701023412,Backorder,,no,no,124,NOT FOUND,,
FI364745,0,AYS007,#20334909,6278126502068,Accepted,,no,no,124,NOT FOUND,,
D7828054,0,AM,#20371317,6280727560372,,,no,no,123,NOT FOUND,,
D7860781,0,AM,#20353193,6279709098164,,,no,no,123,NOT FOUND,,
CC409769,0,AYS028,#20359475,6280045297844,Backorder,,no,no,123,NOT FOUND,,
D7397521,0,AM,#20352426,6279668007092,Shipped,,no,no,123,NOT FOUND,,
D7914546,0,AM,#20377804,6282233938100,,,no,no,122,NOT FOUND,,
D7866152,0,AM,#20389656,6282852860084,,,no,no,122,NOT FOUND,,
V7465419,0,AV,#20394341,6283144921268,,OMSHOLD,no,no,122,NOT FOUND,,
V7430543,0,AV,#20372841,6281751036084,,OMSHOLD,no,no,122,NOT FOUND,,
V7540035,0,AV,#20432485,6290735464628,,,no,no,120,NOT FOUND,,
V7574231,0,AV,#20452430,6293219475636,,,no,no,119,NOT FOUND,,
BH602875,0,AYS001,#20470819,6295154589876,,,no,no,118,NOT FOUND,,
CM113769,0,AYS104,#20458158,6294104899764,Backorder,,no,no,118,NOT FOUND,,
D7762992,0,AM,#20472496,6295597121716,,,no,no,117,NOT FOUND,,
BR634340,0,AYS090,#20487943,6296729092276,Backorder,,no,no,117,NOT FOUND,,
MA635726,0,AYS083,#20488822,6296794923188,Backorder,,no,no,117,NOT FOUND,,
V7639395,0,AV,#20491199,6297109594292,,OMSHOLD,no,no,117,NOT FOUND,,
V7642351,0,AV,#20492522,6297443795124,,OMSHOLD,no,no,116,NOT FOUND,,
SD639878,0,AYS011,#20491485,6297193775284,Backorder,,no,no,116,NOT FOUND,,
CF672593,0,AYS035,#20510577,6298577010868,Backorder,,no,no,116,NOT FOUND,,
FV680653,0,AYS018,#20514816,6298812055732,,,no,no,116,NOT FOUND,,
FV132844,0,AYS018,#20524807,6299919777972,Backorder,,no,no,115,NOT FOUND,,
LE695428,0,AYS098,#20523350,6299831533748,,,no,no,115,NOT FOUND,,
MT687974,0,AYS043,#20519727,6299465842868,,,no,no,115,NOT FOUND,,
V7714255,0,AV,#20535340,6300473163956,,,no,no,115,NOT FOUND,,
V7722110,0,AV,#20540186,6300833841332,,OMSHOLD,no,no,115,NOT FOUND,,
V7723090,0,AV,#20540766,6300902752436,,OMSHOLD,no,no,115,NOT FOUND,,
V8342352,0,AV,#20556002,6302411063476,,,no,no,114,NOT FOUND,,
SD759405,0,AYS011,#20557834,6302629691572,,,no,no,114,NOT FOUND,,
HG733685,0,AYS037,#20544898,6301615882420,,,no,no,114,NOT FOUND,,
SJ767743,0,AYS060,#20563039,6303381717172,Backorder,,no,no,113,NOT FOUND,,
FI761825,0,AYS007,#20559210,6302975000756,Backorder,,no,no,113,NOT FOUND,,
WL761012,0,AYS075,#20558748,6302897373364,Backorder,,no,no,113,NOT FOUND,,
D7825891,0,AM,#20584617,6305355628724,,,no,no,112,NOT FOUND,,
KP806613,0,AYS073,#20581683,6305162133684,,,no,no,112,NOT FOUND,,
D7861332,0,AM,#20581351,6305140474036,,,no,no,112,NOT FOUND,,
D7964373,0,AM,#20591366,6305905410228,,,no,no,112,NOT FOUND,,
D7963926,0,AM,#20590854,6305842430132,,,no,no,112,NOT FOUND,,
HG793363,0,AYS037,#20575025,6304435011764,Backorder,,no,no,112,NOT FOUND,,
V7811259,0,AV,#20584510,6305347371188,,OMSHOLD,no,no,112,NOT FOUND,,
V7801626,0,AV,#20578530,6304941768884,,OMSHOLD,no,no,112,NOT FOUND,,
D8054429,0,AM,#20606689-1,6307359785140,,,no,no,111,NOT FOUND,,
D7859234,0,AM,#20596324,6306690629812,,,no,no,111,NOT FOUND,,
SD882619,0,AYS011,#20625112,6309013094580,,,no,no,110,NOT FOUND,,
V7886520,0,AV,#20627814,6309191155892,,,no,no,110,NOT FOUND,,
UT884309,0,AYS064,#20626243,6309086920884,Backorder,,no,no,110,NOT FOUND,,
SOM13776,0,AYS072,#20682224,6313224077492,Backorder,,no,no,108,NOT FOUND,,
BH204042,0,AYS001,#20678746,6312969502900,Backorder,,no,no,108,NOT FOUND,,
MP972470,0,AYS042,#20680166,6313059942580,Backorder,,no,no,108,NOT FOUND,,
S0273031,0,AS,#20704352,6315368743092,Accepted,OMSHOLD,no,no,106,NOT FOUND,,
D8118932,0,AM,#20717383,6316429705396,,,no,no,106,NOT FOUND,,
D8205048,0,AM,#20721183,6316752404660,,,no,no,106,NOT FOUND,,
BH405821,0,AYS001,#20723022,6317638353076,Backorder,,no,no,105,NOT FOUND,,
MP053717,0,AYS042,#20722905,6317585924276,Backorder,,no,no,105,NOT FOUND,,
V8079469,0,AV,#20738407,6318863777972,,OMSHOLD,no,no,105,NOT FOUND,,
V8066678,0,AV,#20729061,6318203044020,,OMSHOLD,no,no,105,NOT FOUND,,
LV112301,0,AYS063,#20756524,6395852915047,,,no,no,104,NOT FOUND,,
V8113088,0,AV,#20757124,6395874804071,,OMSHOLD,no,no,104,NOT FOUND,,
LV095413,0,AYS063,#20746032,6319820603572,,,no,no,104,NOT FOUND,,
V8102013,0,AV,#20749190,6320019144884,,OMSHOLD,no,no,104,NOT FOUND,,
WS093123,0,AYS058,#20744434,6319706013876,,,no,no,104,NOT FOUND,,
SML47027,0,AYS116,#20777531,6396613198183,Backorder,,no,no,103,NOT FOUND,,
WS147687,0,AYS058,#20777955,6396628500839,Backorder,,no,no,103,NOT FOUND,,
V8149971,0,AV,#20779554,6396686205287,Backorder,OMSHOLD,no,no,103,NOT FOUND,,
SML33721,0,AYS116,#20777189,6396600942951,Backorder,,no,no,103,NOT FOUND,,
V8145873,0,AV,#20776864,6396589277543,,OMSHOLD,no,no,103,NOT FOUND,,
SH139139,0,AYS004,#20773619,6396473409895,Accepted,,no,no,103,NOT FOUND,,
V8145706,0,AV,#20776782,6396586459495,,OMSHOLD,no,no,103,NOT FOUND,,
V8119209,0,AV,#20761537,6396041986407,,OMSHOLD,no,no,103,NOT FOUND,,
UT146842,0,AYS064,#20777415,6396609102183,Backorder,,no,no,103,NOT FOUND,,
OA139139,0,AYS015,#20773619,6396473409895,Accepted,,no,no,103,NOT FOUND,,
BO147151,0,AYS017,#20777606,6396615983463,Backorder,,no,no,103,NOT FOUND,,
HY148064,0,AYS078,#20778207,6396637741415,Backorder,,no,no,103,NOT FOUND,,
D8202113,0,AM,#20810524,6397800743271,,OMSHOLD,no,no,102,NOT FOUND,,
D8202191,0,AM,#20810561,6397802086759,,OMSHOLD,no,no,102,NOT FOUND,,
GT158458,0,AYS029,#20785307,6396902867303,,,no,no,102,NOT FOUND,,
MA156280,0,AYS083,#20784069,6396855189863,Backorder,,no,no,102,NOT FOUND,,
V8184088,0,AV,#20799829,6397424959847,,OMSHOLD,no,no,102,NOT FOUND,,
V8247017,0,AV,#20837816,6398794563943,,OMSHOLD,no,no,100,NOT FOUND,,
AT242448,0,AYS010,#20834688,6398679318887,Backorder,,no,no,100,NOT FOUND,,
V8286451,0,AV,#20860098,6399599313255,,,no,no,99,NOT FOUND,,
V8288685,0,AV,#20861465,6399648170343,,,no,no,99,NOT FOUND,,
V8299835,0,AV,#20867098,6399850152295,Backorder,OMSHOLD,no,no,99,NOT FOUND,,
V8283192,0,AV,#20858260,6399533384039,Backorder,OMSHOLD,no,no,99,NOT FOUND,,
V8319652,0,AV,#20877106,6400218497383,Backorder,OMSHOLD,no,no,98,NOT FOUND,,
D8375559,0,AM,#20905617,6401238204775,,OOSC,no,no,97,NOT FOUND,,
V8372268,0,AV,#20906432,6401267728743,,OMSHOLD,no,no,97,NOT FOUND,,
D8453369,0,AM,#20898887,6401002471783,,OOSC,no,no,97,NOT FOUND,,
D8453376,0,AM,#20905705,6401241416039,,OOSC,no,no,97,NOT FOUND,,
D8453410,0,AM,#20906700,6401277657447,,,no,no,97,NOT FOUND,,
D8547526,0,AM,#20906330,6401264025959,,,no,no,97,NOT FOUND,,
D9144364,0,AM,#20892609,6400780697959,,,no,no,97,NOT FOUND,,
V9144354,0,AV,#20891384,6400737444199,,OMSHOLD,no,no,97,NOT FOUND,,
D8408588,0,AM,#20907977,6401331462503,,,no,no,96,NOT FOUND,,
S8394103,0,AS,#20920142,6401771536743,Accepted,,no,no,96,NOT FOUND,,
GD445749,0,AYS081,#20953904,6403045884263,Backorder,,no,no,95,NOT FOUND,,
V8417121,0,AV,#20934943,6402351726951,,OMSHOLD,no,no,95,NOT FOUND,,
V8440470,0,AV,#20950563,6402920055143,,OMSHOLD,no,no,95,NOT FOUND,,
V8434034,0,AV,#20946159,6402760868199,,OMSHOLD,no,no,95,NOT FOUND,,
V8480114,0,AV,#20972010,6403727163751,,,no,no,94,NOT FOUND,,
FV113800,0,AYS018,#20954991,6403104440679,,,no,no,94,NOT FOUND,,
FV526237,0,AYS018,#20997462,6404681171303,,,no,no,93,NOT FOUND,,
FA516989,0,AYS012,#20993357,6404527849831,,,no,no,93,NOT FOUND,,
PA525666,0,AYS021,#20997173,6404670456167,,,no,no,93,NOT FOUND,,
V8496198,0,AV,#20981328,6404081713511,,OMSHOLD,no,no,93,NOT FOUND,,
V8497729,0,AV,#20981870,6404105240935,Backorder,OMSHOLD,no,no,93,NOT FOUND,,
V8525688,0,AV,#20997184,6404670914919,Backorder,OMSHOLD,no,no,93,NOT FOUND,,
V8540982,0,AV,#21006537,6405040505191,,OMSHOLD,no,no,92,NOT FOUND,,
V8550621,0,AV,#21010329,6405180195175,Backorder,,no,no,92,NOT FOUND,,
V8558001,0,AV,#21014939,6405350392167,Backorder,OMSHOLD,no,no,92,NOT FOUND,,
V8565654,0,AV,#21017678,6405454266727,,OMSHOLD,no,no,92,NOT FOUND,,
KT558427,0,AYS082,#21015170,6405359206759,,,no,no,92,NOT FOUND,,
NS532636,0,AYS041,#21001082,6404836589927,Backorder,,no,no,92,NOT FOUND,,
V8576920,0,AV,#21024316,6405726601575,,OMSHOLD,no,no,91,NOT FOUND,,
V8567692,0,AV,#21018808,6405507973479,,OMSHOLD,no,no,91,NOT FOUND,,
S8596371,0,AS,#21034567,6406105366887,XB_shipping,,no,no,91,NOT FOUND,,
V8621212,0,AV,#21027945,6405859967335,,CSR,no,no,91,NOT FOUND,,
V8604982,0,AV,#21037886,6406247186791,Backorder,OMSHOLD,no,no,90,NOT FOUND,,
V8658566,0,AV,#21072410,6407552106855,,OMSHOLD,no,no,89,NOT FOUND,,
V8638256,0,AV,#21056714,6406966772071,,OMSHOLD,no,no,89,NOT FOUND,,
V8658442,0,AV,#21072193,6407544045927,,OMSHOLD,no,no,89,NOT FOUND,,
V8716693,0,AV,#21106195,6408841757031,,OMSHOLD,no,no,87,NOT FOUND,,
V8716980,0,AV,#21106368,6408848572775,,OMSHOLD,no,no,87,NOT FOUND,,
V8749762,0,AV,#21126195,6409574777191,,,no,no,87,NOT FOUND,,
V8729497,0,AV,#21113819,6409123496295,,,no,no,87,NOT FOUND,,
V8717210,0,AV,#21106515,6408854241639,Backorder,OMSHOLD,no,no,87,NOT FOUND,,
V8737132,0,AV,#21118949,6409310503271,,OMSHOLD,no,no,87,NOT FOUND,,
UE725617,0,AYS009,#21112166,6409063432551,Backorder,,no,no,87,NOT FOUND,,
S8742853,0,AS,#21123008,6409458057575,Accepted,,no,no,87,NOT FOUND,,
S8749719,0,AS,#21126166,6409573826919,XB_shipping,,no,no,87,NOT FOUND,,
V8755277,0,AV,#21129950,6409739141479,,OMSHOLD,no,no,86,NOT FOUND,,
S8791360,0,AS,#21152594,6410602774887,,OMSHOLD,no,no,85,NOT FOUND,,
V8798481,0,AV,#21157366,6410779754855,Backorder,OMSHOLD,no,no,85,NOT FOUND,,
S8790707,0,AS,#21152186,6410587439463,,OMSHOLD,no,no,85,NOT FOUND,,
V8789561,0,AV,#21151474,6410560930151,,CSR,no,no,85,NOT FOUND,,
S8781957,0,AS,#21147583,6410415014247,,OMSHOLD,no,no,85,NOT FOUND,,
S8780221,0,AS,#21146365,6410365698407,XB_shipping,,no,no,85,NOT FOUND,,
S8795747,0,AS,#21155533,6410712056167,XB_shipping,,no,no,85,NOT FOUND,,
S8798633,0,AS,#21157475,6410783654247,,OMSHOLD,no,no,85,NOT FOUND,,
S8806024,0,AS,#21161984,6410953130343,,OMSHOLD,no,no,85,NOT FOUND,,
RC806482,0,AYS022,#21162102,6410957619559,,,no,no,85,NOT FOUND,,
AV804090,0,AYS052,#21160979,6410915086695,,,no,no,85,NOT FOUND,,
CE809606,0,AYS101,#21162463,6410971775335,,,no,no,85,NOT FOUND,,
S8835984,0,AS,#21174581,6411443700071,Accepted,,no,no,84,NOT FOUND,,
ED816290,0,AYS102,#21165722,6411115659623,FDM4-CNCL,,no,no,84,NOT FOUND,,
S8816907,0,AS,#21166089,6411129356647,,OMSHOLD,no,no,84,NOT FOUND,,
CO812947,0,AYS076,#21163965,6411043930471,Accepted,,no,no,84,NOT FOUND,,
S8815809,0,AS,#21165459,6411105141095,,OMSHOLD,no,no,84,NOT FOUND,,
MM062499,0,AYS089,#21177836,6411564319079,Accepted,,no,no,84,NOT FOUND,,
S8812678,0,AS,#21163827,6411037573479,Accepted,,no,no,84,NOT FOUND,,
NS811255,0,AYS041,#21163182,6411003920743,Accepted,,no,no,84,NOT FOUND,,
S8811255,0,AS,#21163182,6411003920743,Accepted,,no,no,84,NOT FOUND,,
WFM73123,0,AYS112,#21178595,6411592925543,Accepted,,no,no,84,NOT FOUND,,
WFM57766,0,AYS112,#21164868,6411081843047,Accepted,,no,no,84,NOT FOUND,,
S8871096,0,AS,#21193572,6412163023207,,OMSHOLD,no,no,83,NOT FOUND,,
V8883063,0,AV,#21199522,6412380307815,,OMSHOLD,no,no,83,NOT FOUND,,
S8882441,0,AS,#21199142,6412364906855,,OMSHOLD,no,no,83,NOT FOUND,,
SP851855,0,AYS032,#21182446,6411756929383,Accepted,,no,no,83,NOT FOUND,,
OC881738,0,AYS030,#21198718,6412349243751,Accepted,,no,no,83,NOT FOUND,,
SML89180,0,AYS116,#21203623,6412536807783,Accepted,,no,no,82,NOT FOUND,,
MT906047,0,AYS043,#21213992,6412913574247,Accepted,,no,no,82,NOT FOUND,,
S8885572,0,AS,#21201164,6412445712743,XB_shipping,,no,no,82,NOT FOUND,,
S8888685,0,AS,#21203279,6412524126567,XB_shipping,,no,no,82,NOT FOUND,,
S8913861,0,AS,#21219754,6413124272487,Accepted,,no,no,82,NOT FOUND,,
S8914198,0,AS,#21219751,6413124141415,XB_shipping,,no,no,82,NOT FOUND,,
V8892049,0,AV,#21205629,6412610371943,,,no,no,82,NOT FOUND,,
V8909657,0,AV,#21216789,6413015908711,,,no,no,82,NOT FOUND,,
WAS85572,0,AYS106,#21201164,6412445712743,Accepted,,no,no,82,NOT FOUND,,
VF893587,0,AYS025,#21206643,6412646941031,Accepted,,no,no,82,NOT FOUND,,
WT906047,0,AYS033,#21213992,6412913574247,Accepted,,no,no,82,NOT FOUND,,
S8952044,0,AS,#21244674,6414028046695,,OMSHOLD,no,no,81,NOT FOUND,,
WF936148,0,AYS062,#21234761,6413674873191,Accepted,,no,no,81,NOT FOUND,,
S8917635,0,AS,#21222470,6413231718759,,OMSHOLD,no,no,81,NOT FOUND,,
S8961801,0,AS,#21240626,6413883834727,XB_shipping,,no,no,81,NOT FOUND,,
S8949847,0,AS,#21243155,6413974110567,XB_shipping,,no,no,81,NOT FOUND,,
MP929246,0,AYS042,#21229478,6413484851559,Accepted,,no,no,81,NOT FOUND,,
MV174550,0,AYS023,#21230246,6413512835431,Accepted,,no,no,81,NOT FOUND,,
MA292100,0,AYS083,#21245881,6414073004391,,,no,no,81,NOT FOUND,,
BR931621,0,AYS090,#21231294,6413550387559,Accepted,,no,no,81,NOT FOUND,,
CE921916,0,AYS101,#21225330,6413335560551,Accepted,,no,no,81,NOT FOUND,,
CB153722,0,AYS057,#21225552,6413343752551,Accepted,,no,no,81,NOT FOUND,,
CB936148,0,AYS057,#21234761,6413674873191,Accepted,,no,no,81,NOT FOUND,,
CE936148,0,AYS101,#21234761,6413674873191,Accepted,,no,no,81,NOT FOUND,,
S9000854,0,AS,#21271862,6415003812199,XB_shipping,,no,no,80,NOT FOUND,,
GD020625,0,AYS081,#21261006,6414619869543,Accepted,,no,no,80,NOT FOUND,,
S8954992,0,AS,#21246531,6414101217639,XB_shipping,,no,no,80,NOT FOUND,,
GT020593,0,AYS029,#21251265,6414273642855,Accepted,,no,no,80,NOT FOUND,,
S8956001,0,AS,#21246964,6414118388071,XB_shipping,,no,no,80,NOT FOUND,,
RG389042,0,AYS034,#21253710,6414360183143,Accepted,,no,no,80,NOT FOUND,,
S8986258,0,AS,#21263972,6414724923751,,OMSHOLD,no,no,80,NOT FOUND,,
S8962079,0,AS,#21249173,6414200406375,XB_shipping,,no,no,80,NOT FOUND,,
S8963441,0,AS,#21249918,6414227177831,XB_shipping,,no,no,80,NOT FOUND,,
V9000297,0,AV,#21271745,6414999224679,,sAddr,no,no,80,NOT FOUND,,
V8957191,0,AV,#21247663,6414144471399,,sAddr,no,no,80,NOT FOUND,,
S9031164,0,AS,#21288846,6415612805479,XB_shipping,,no,no,79,NOT FOUND,,
S9012448,0,AS,#21277837,6415222899047,Manifested,,no,no,79,NOT FOUND,,
S9018970,0,AS,#21282022,6415370715495,XB_shipping,,no,no,79,NOT FOUND,,
S9028888,0,AS,#21287222,6415555658087,XB_shipping,,no,no,79,NOT FOUND,,
S9012421,0,AS,#21277837,6415222899047,XB_shipping,,no,no,79,NOT FOUND,,
IP001701,0,AYS039,#21272674,6415038120295,Accepted,,no,no,79,NOT FOUND,,
FV010462,0,AYS018,#21276522,6415176532327,Accepted,,no,no,79,NOT FOUND,,
D9108453,0,AM,#21275851,6415152709991,,,no,no,79,NOT FOUND,,
CF010462,0,AYS035,#21276522,6415176532327,Accepted,,no,no,79,NOT FOUND,,
S9069255,0,AS,#21312211,6416453108071,XB_shipping,,no,no,78,NOT FOUND,,
CO062749,0,AYS076,#21296860,6415905227111,Accepted,,no,no,78,NOT FOUND,,
S9071025,0,AS,#21312956,6416480895335,Accepted,,no,no,78,NOT FOUND,,
SH981291,0,AYS004,#21312689,6416470475111,Accepted,,no,no,78,NOT FOUND,,
S9039499,0,AS,#21295128,6415843754343,XB_shipping,,no,no,78,NOT FOUND,,
S9039509,0,AS,#21295154,6415844770151,XB_shipping,,no,no,78,NOT FOUND,,
WP390058,0,AYS014,#21313004,6416482566503,Backorder,,no,no,78,NOT FOUND,,
WP054908,0,AYS014,#21304389,6416173498727,Accepted,,no,no,78,NOT FOUND,,
SH081468,0,AYS004,#21319080,6416703914343,Accepted,,no,no,77,NOT FOUND,,
S9076534,0,AS,#21315483,6416574677351,XB_shipping,,no,no,77,NOT FOUND,,
S9085543,0,AS,#21320215,6416744218983,,OMSHOLD,no,no,77,NOT FOUND,,
S9079729,0,AS,#21317949,6416662724967,XB_shipping,,no,no,77,NOT FOUND,,
S9111792,0,AS,#21326953,6416985784679,XB_shipping,,no,no,77,NOT FOUND,,
FA090998,0,AYS012,#21323693,6416869425511,Accepted,,no,no,77,NOT FOUND,,
S9137893,0,AS,#21350435,6417835589991,,,no,no,76,NOT FOUND,,
S9117691,0,AS,#21337930,6417385062759,XB_shipping,,no,no,76,NOT FOUND,,
V9142099,0,AV,#21353476,6417946444135,,,no,no,76,NOT FOUND,,
V9110268,0,AV,#21334659,6417267163495,,,no,no,76,NOT FOUND,,
S9175739,0,AS,#21374767,6418720096615,,OMSHOLD,no,no,75,NOT FOUND,,
V9142417,0,AV,#21353713,6417956471143,,CSR,no,no,75,NOT FOUND,,
S9164946,0,AS,#21368901,6418507989351,,OMSHOLD,no,no,75,NOT FOUND,,
V9145176,0,AV,#21355645,6418029969767,,,no,no,75,NOT FOUND,,
S9142524,0,AS,#21353792,6417959846247,XB_shipping,,no,no,75,NOT FOUND,,
V9145272,0,AV,#21355709,6418032230759,,CSR,no,no,75,NOT FOUND,,
S9154849,0,AS,#21361068,6418227102055,,OMSHOLD,no,no,75,NOT FOUND,,
V9149040,0,AV,#21358085,6418118377831,,CARR,no,no,75,NOT FOUND,,
V9154662,0,AV,#21360932,6418222055783,,CSR,no,no,75,NOT FOUND,,
V9176102,0,AV,#21374959,6418727305575,,sAddr,no,no,75,NOT FOUND,,
V9142234,0,AV,#21353573,6417950441831,,CSR,no,no,75,NOT FOUND,,
V9143007,0,AV,#21354131,6417973772647,,CARR,no,no,75,NOT FOUND,,
AT145263,0,AYS010,#21355700,6418031968615,Accepted,,no,no,75,NOT FOUND,,
V9218564,0,AV,#21402605,6419731251559,,OMSHOLD,no,no,74,NOT FOUND,,
S9207547,0,AS,#21396441,6419512066407,XB_shipping,,no,no,74,NOT FOUND,,
S9191311,0,AS,#21385827,6419129336167,XB_shipping,,no,no,74,NOT FOUND,,
S9177478,0,AS,#21375835,6418764497255,Cancel,,no,no,74,NOT FOUND,,
S9177038,0,AS,#21375546,6418751750503,Cancel,,no,no,74,NOT FOUND,,
S9187362,0,AS,#21383027,6419027657063,Cancel,,no,no,74,NOT FOUND,,
S9267706,0,AS,#21390627,6419303760231,Cancel,,no,no,74,NOT FOUND,,
S9239798,0,AS,#21397367,6419545162087,,,no,no,74,NOT FOUND,,
S9195606,0,AS,#21386007,6419135660391,XB_shipping,,no,no,74,NOT FOUND,,
S9179079,0,AS,#21376665,6418796577127,XB_shipping,,no,no,74,NOT FOUND,,
S9197305,0,AS,#21388730,6419234718055,,OMSHOLD,no,no,74,NOT FOUND,,
S9238175,0,AS,#21413784,6420146553191,,OMSHOLD,no,no,73,NOT FOUND,,
S9223141,0,AS,#21405503,6419844923751,,OMSHOLD,no,no,73,NOT FOUND,,
S9222187,0,AS,#21404920,6419823526247,,,no,no,73,NOT FOUND,,
S9240988,0,AS,#21415801,6420219068775,XB_shipping,,no,no,73,NOT FOUND,,
S9220057,0,AS,#21403582,6419771162983,Cancel,,no,no,73,NOT FOUND,,
S9247405,0,AS,#21418694,6420322222439,,OMSHOLD,no,no,73,NOT FOUND,,
S9241244,0,AS,#21416011,6420226900327,XB_shipping,,no,no,73,NOT FOUND,,
S9252685,0,AS,#21422424,6420454506855,,OMSHOLD,no,no,73,NOT FOUND,,
S9257641,0,AS,#21425849,6420575355239,,OMSHOLD,no,no,73,NOT FOUND,,
S9233691,0,AS,#21410585,6420030292327,,OMSHOLD,no,no,73,NOT FOUND,,
S9257809,0,AS,#21425956,6420579451239,,OMSHOLD,no,no,73,NOT FOUND,,
S9258206,0,AS,#21426211,6420589085031,,OMSHOLD,no,no,73,NOT FOUND,,
S9224120,0,AS,#21406068,6419866616167,,OMSHOLD,no,no,73,NOT FOUND,,
S9279995,0,AS,#21407843,6419931103591,XB_shipping,,no,no,73,NOT FOUND,,
S9237158,0,AS,#21413080,6420120895847,,OMSHOLD,no,no,73,NOT FOUND,,
UE220098,0,AYS009,#21403601,6419772113255,Accepted,,no,no,73,NOT FOUND,,
