V5533817,0,AV,#19424237,6193266229428,,,no,no,167
V5622004,0,AV,#19478579,6197514731700,,OMSHOLD,no,no,165
CH630931,0,AYS097,#19484129,6197816426676,,,no,no,165
PF610987,0,AYS051,#19471871,6197111161012,Accepted,,no,no,165
V5650047,0,AV,#19494917,6198888661172,,,no,no,164
V5649533,0,AV,#19494550,6198864150708,,,no,no,164
V6022332,0,AV,#19645575,6209591050420,,,no,no,159
V6003340,0,AV,#19636521,6209119322292,,OMSHOLD,no,no,159
V6060232,0,AV,#19660035,6210771288244,,,no,no,158
V6160389,0,AV,#19697367,6213423694004,,,no,no,157
V6177992,0,AV,#19702743,6214131646644,,,no,no,157
V6129531,0,AV,#19689436,6212991254708,,OMSHOLD,no,no,157
DO256206,0,AYS038,#19694723,6213277843636,,,no,no,157
FI256206,0,AYS007,#19694723,6213277843636,,,no,no,157
V6303246,0,AV,#19739706,6218515808436,,OMSHOLD,no,no,154
V6355017,0,AV,#19763933,6220747014324,,,no,no,153
V6496394,0,AV,#19844606,6226988105908,,,no,no,150
V6465764,0,AV,#19829577,6225769038004,,,no,no,150
V6511436,0,AV,#19851518,6227946766516,,,no,no,149
V6517371,0,AV,#19855335,6228223033524,,,no,no,149
V6508786,0,AV,#19850101,6227817136308,,,no,no,149
V6516567,0,AV,#19854790,6228186595508,,OMSHOLD,no,no,149
FA121538,0,AYS012,#19906766,6237108469940,,,no,no,146
S6622360,0,AS,#19911849,6237438673076,Accepted,,no,no,146
BR671626,0,AYS090,#19942770,6239873302708,,,no,no,145
MP645097,0,AYS042,#19924134,6238798315700,Backorder,,no,no,145
MP671626,0,AYS042,#19942770,6239873302708,Backorder,,no,no,145
TG861313,0,AYS003,#19929741,6239138152628,,,no,no,145
V6684097,0,AV,#19949981,6240806863028,,OMSHOLD,no,no,144
CE678299,0,AYS101,#19946021,6240333201588,Backorder,,no,no,144
V6720418,0,AV,#19970436,6242541371572,,OMSHOLD,no,no,143
SD767981,0,AYS011,#19996155,6245666455732,Accepted,,no,no,142
GD770436,0,AYS081,#19997877-1,6245817548980,Backorder,,no,no,142
V6835796,0,AV,#20029879,6249256485044,,OMSHOLD,no,no,140
PA369934,0,AYS021,#20059599,6252356796596,Accepted,,no,no,138
V7346188,0,AV,#20083002,6254216609972,,OMSHOLD,no,no,137
