OrderNumber,WarehouseStatus,CustOrderNum,ItemNumber,Warehouse,OrderQty,ShippedQty,CancelQty
S8288338,Waved,EXCHL-23955259-1,M6155R013,AS,1,0,0
S8288338,Waved,EXCHL-23955259-1,M1205R054423,AS,1,0,0
S8288338,Waved,EXCHL-23955259-1,M1205R029103,AS,1,0,0
S8288171,Waved,#24083089,M4166R013,AS,1,0,0
MP288171,Accepted,#24083089,W9811R033202,AYS042,1,0,0
V8288210,accepted,#24083103,W5784R056342,AV,1,0,0
V8288210,accepted,#24083103,W3438R056342,AV,1,0,0
V8288210,accepted,#24083103,A0054U011,AV,1,0,0
V8288210,accepted,#24083103,A0094W013,AV,1,0,0
S8288236,Accepted,#24083108,A0467U011,AS,1,0,0
V8288236,accepted,#24083108,U5012RG055414,AV,1,0,0
S8288236,Accepted,#24083108,M6143R014,AS,1,0,0
S8288236,Accepted,#24083108,M1205R014,AS,1,0,0
S8288236,Accepted,#24083108,M1205R030404,AS,1,0,0
S8288236,Accepted,#24083108,M1205R038424,AS,1,0,0
S8288236,Accepted,#24083108,U3032RG014,AS,1,0,0
S8288236,Accepted,#24083108,U3041RG048314,AS,1,0,0
S8288236,Accepted,#24083108,U5013RG048314,AS,1,0,0
S8288236,Accepted,#24083108,U5012RG014,AS,1,0,0
DB288216,Accepted,#24083106,M6117R040644,AYS139,1,0,0
S8288217,Waved,#24083111,A0685U05273070,AS,1,0,0
S8288217,Waved,#24083111,A0652U01011,AS,1,0,0
S8288424,Waved,EXCHL-23882807-1,W9845R054424,AS,1,0,0
S8288241,Picking,#24083113,W6311R002,AS,1,0,0
S8288241,Picking,#24083113,W2799R011,AS,1,0,0
S8288237,Waved,#24083114,A0363U012,AS,1,0,0
S8288277,Waved,#24083119,U5013RG015,AS,1,0,0
S8288277,Waved,#24083119,U3032RG015,AS,1,0,0
S8288282,Manifested,#24083123,W9533R013,AS,1,0,0
S8288282,Manifested,#24083123,W6442R013,AS,1,0,0
S8288292,Waved,#24083126,W51432R044814,AS,1,0,0
S8288300,Waved,#24083131,W51432R011,AS,1,0,0
V8288302,accepted,#24083128,W7066R018581,AV,1,0,0
V8288302,accepted,#24083128,A0054U001,AV,1,0,0
V8288302,accepted,#24083128,A0503U001,AV,1,0,0
V8288302,accepted,#24083128,A0286W052011,AV,1,0,0
BO288302,Accepted,#24083128,A0714U053844,AYS017,1,0,0
S8288307,Picking,#24083133,A0357U00013,AS,1,0,0
V8288307,accepted,#24083133,A0690U060303,AV,1,0,0
V8288307,accepted,#24083133,W6405R060302,AV,1,0,0
V8288307,accepted,#24083133,W4575R060302,AV,1,0,0
S8288307,Picking,#24083133,W9351RG00013,AS,1,0,0
V8288307,accepted,#24083133,W51298R00012,AV,1,0,0
S8288307,Picking,#24083133,W9680R00012,AS,1,0,0
S8288325,Waved,#24083135,A0480U01003,AS,1,0,0
S8288325,Waved,#24083135,W2675RG01002,AS,1,0,0
S8288316,Waved,#24083138,W8278R056173,AS,1,0,0
MM288324,Ready,#24083140,U3041RG012,AYS089,1,0,0
PA288351,Ready,#24083143,A0286W054421,AYS021,1,0,0
PA288351,Ready,#24083143,A0543U00001,AYS021,1,0,0
PA288351,Ready,#24083143,W8322R054422,AYS021,1,0,0
PA288351,Ready,#24083143,W9808R055062,AYS021,1,0,0
S8288382,Waved,#24083148,W3732R044812,AS,1,0,0
S8288391,Waved,#24083155,A0480U054233,AS,1,0,0
S8288391,Waved,#24083155,A0480U00013,AS,1,0,0
S8288391,Waved,#24083155,W6334R013,AS,1,0,0
S8288392,Manifested,#24083156,W51432R044810,AS,1,0,0
S8288392,Manifested,#24083156,W51436R010,AS,1,0,0
S8288429,Accepted,#24083160,U3032RG054423,AS,1,0,0
S8288429,Accepted,#24083160,W9918R054874,AS,1,0,0
S8288429,Accepted,#24083160,W7066R018581,AS,1,0,0
DB288429,Accepted,#24083160,U5012RG054422,AYS139,1,0,0
V8288436,accepted,#24083170,A0590U05442075,AV,1,0,0
V8288436,accepted,#24083170,W5561R054422,AV,1,0,0
S8288434,Waved,#24083172,M1257R029104,AS,2,0,0
S8288434,Waved,#24083172,M1257R055414,AS,4,0,0
S8288434,Waved,#24083172,M1257R038424,AS,4,0,0
V8288447,accepted,#24083174,W7066R018581,AV,1,0,0
V8288447,accepted,#24083174,W3660R002,AV,1,0,0
V8288447,accepted,#24083174,W6273R001,AV,1,0,0
V8288447,accepted,#24083174,W5473R045641,AV,1,0,0
S8288459,Waved,#24083175,U3032RG054423,AS,1,0,0
S8288467,Waved,#24083180,W3892R012,AS,1,0,0
S8288484,Waved,#24083183,M6123R038423,AS,1,0,0
S8288484,Waved,#24083183,M1228R038423,AS,1,0,0
S8288493,Picking,#24083186,N7011F00012OZ,AS,1,0,0
S8288493,Picking,#24083186,A0054U044811,AS,1,0,0
S8288493,Picking,#24083186,W2675RG063563,AS,1,0,0
S8288502,Waved,#24083188,A0480U030833,AS,1,0,0
S8288502,Waved,#24083188,A0480U025773,AS,1,0,0
S8288502,Waved,#24083188,A0480U042593,AS,1,0,0
